province,district,zone,soil_type,rainfall_mm,temperature_c,pH,season,shade,chosen_crop,good_bad
North Western,Kurunegala,Dry Zone,loamy,1943,23.3,7.4,Yala,yes,cinnamon,0
North Western,Kurunegala,Dry Zone,loamy,1943,23.3,7.4,Yala,yes,ginger,0
Southern,Matara,Dry Zone,clay_loam,2055,28.8,6.0,Yala,no,paddy,1
Southern,Matara,Dry Zone,clay_loam,2055,28.8,6.0,Yala,no,mushroom,0
Southern,Matara,Dry Zone,clay_loam,2055,28.8,6.0,Yala,no,rubber,0
Northern,Jaffna,Intermediate Zone,clay,2990,21.4,7.4,Maha,no,cinnamon,1
Northern,Jaffna,Intermediate Zone,clay,2990,21.4,7.4,Maha,no,pepper,0
Northern,Jaffna,Intermediate Zone,clay,2990,21.4,7.4,Maha,no,ginger,0
Northern,Mannar,Dry Zone,compost_rich,1304,25.6,7.3,Maha,no,pepper,1
Northern,Mannar,Dry Zone,compost_rich,1304,25.6,7.3,Maha,no,paddy,0
Northern,Mannar,Dry Zone,compost_rich,1304,25.6,7.3,Maha,no,mushroom,0
Northern,Vavuniya,Intermediate Zone,compost_rich,1611,31.9,7.1,Yala,no,fruits,1
Northern,Vavuniya,Intermediate Zone,compost_rich,1611,31.9,7.1,Yala,no,tea,0
Northern,Vavuniya,Intermediate Zone,compost_rich,1611,31.9,7.1,Yala,no,banana,0
North Western,Kurunegala,Dry Zone,clay,1645,30.5,5.6,Maha,no,paddy,1
North Western,Kurunegala,Dry Zone,clay,1645,30.5,5.6,Maha,no,coconut,0
North Western,Kurunegala,Dry Zone,clay,1645,30.5,5.6,Maha,no,banana,0
Southern,Hambantota,Dry Zone,clay,2532,27.5,4.9,Yala,no,paddy,1
Southern,Hambantota,Dry Zone,clay,2532,27.5,4.9,Yala,no,tea,0
Southern,Hambantota,Dry Zone,clay,2532,27.5,4.9,Yala,no,cinnamon,0
Southern,Galle,Wet Zone,clay_loam,1315,29.6,6.3,Maha,no,coconut,1
Southern,Galle,Wet Zone,clay_loam,1315,29.6,6.3,Maha,no,pepper,0
Southern,Galle,Wet Zone,clay_loam,1315,29.6,6.3,Maha,no,tea,0
North Central,Polonnaruwa,Intermediate Zone,compost_rich,1192,31.1,6.1,Yala,yes,mushroom,1
North Central,Polonnaruwa,Intermediate Zone,compost_rich,1192,31.1,6.1,Yala,yes,cinnamon,0
North Central,Polonnaruwa,Intermediate Zone,compost_rich,1192,31.1,6.1,Yala,yes,coffee,0
Sabaragamuwa,Kegalle,Dry Zone,sandy_loam,1872,29.0,6.5,Yala,yes,banana,1
Sabaragamuwa,Kegalle,Dry Zone,sandy_loam,1872,29.0,6.5,Yala,yes,rubber,0
Sabaragamuwa,Kegalle,Dry Zone,sandy_loam,1872,29.0,6.5,Yala,yes,fruits,0
Western,Gampaha,Intermediate Zone,clay,2816,31.4,7.3,Yala,no,coconut,1
Western,Gampaha,Intermediate Zone,clay,2816,31.4,7.3,Yala,no,tea,0
Western,Gampaha,Intermediate Zone,clay,2816,31.4,7.3,Yala,no,maize,0
Southern,Matara,Dry Zone,loamy,2106,27.1,7.1,Maha,no,cinnamon,1
Southern,Matara,Dry Zone,loamy,2106,27.1,7.1,Maha,no,coffee,0
Southern,Matara,Dry Zone,loamy,2106,27.1,7.1,Maha,no,vegetables,0
Uva,Monaragala,Wet Zone,sandy_loam,1672,31.6,5.1,Maha,yes,banana,1
Uva,Monaragala,Wet Zone,sandy_loam,1672,31.6,5.1,Maha,yes,maize,0
Uva,Monaragala,Wet Zone,sandy_loam,1672,31.6,5.1,Maha,yes,tea,0
North Western,Puttalam,Dry Zone,loamy,966,21.6,6.8,Yala,yes,cinnamon,1
North Western,Puttalam,Dry Zone,loamy,966,21.6,6.8,Yala,yes,mushroom,0
North Western,Puttalam,Dry Zone,loamy,966,21.6,6.8,Yala,yes,rubber,0
North Western,Puttalam,Wet Zone,sandy_loam,940,22.3,6.3,Maha,yes,coconut,1
North Western,Puttalam,Wet Zone,sandy_loam,940,22.3,6.3,Maha,yes,tea,0
North Western,Puttalam,Wet Zone,sandy_loam,940,22.3,6.3,Maha,yes,mushroom,0
North Central,Anuradhapura,Wet Zone,clay,1950,25.1,6.3,Yala,yes,cinnamon,1
North Central,Anuradhapura,Wet Zone,clay,1950,25.1,6.3,Yala,yes,fruits,0
North Central,Anuradhapura,Wet Zone,clay,1950,25.1,6.3,Yala,yes,pepper,0
Southern,Matara,Intermediate Zone,loamy,2150,24.8,5.9,Maha,yes,coconut,1
Southern,Matara,Intermediate Zone,loamy,2150,24.8,5.9,Maha,yes,cinnamon,0
Southern,Matara,Intermediate Zone,loamy,2150,24.8,5.9,Maha,yes,mushroom,0
Western,Colombo,Dry Zone,compost_rich,1698,31.7,5.9,Yala,no,cinnamon,1
Western,Colombo,Dry Zone,compost_rich,1698,31.7,5.9,Yala,no,banana,0
Western,Colombo,Dry Zone,compost_rich,1698,31.7,5.9,Yala,no,paddy,0
Sabaragamuwa,Kegalle,Dry Zone,compost_rich,2241,30.6,6.2,Maha,no,coconut,1
Sabaragamuwa,Kegalle,Dry Zone,compost_rich,2241,30.6,6.2,Maha,no,paddy,0
Sabaragamuwa,Kegalle,Dry Zone,compost_rich,2241,30.6,6.2,Maha,no,maize,0
Southern,Galle,Intermediate Zone,compost_rich,1089,24.9,4.8,Maha,no,coconut,1
Southern,Galle,Intermediate Zone,compost_rich,1089,24.9,4.8,Maha,no,turmeric,0
Southern,Galle,Intermediate Zone,compost_rich,1089,24.9,4.8,Maha,no,cinnamon,0
Western,Kalutara,Wet Zone,loamy,1986,31.9,4.8,Yala,yes,rubber,1
Western,Kalutara,Wet Zone,loamy,1986,31.9,4.8,Yala,yes,vegetables,0
Western,Kalutara,Wet Zone,loamy,1986,31.9,4.8,Yala,yes,banana,0
Central,Nuwara Eliya,Wet Zone,loamy,1119,25.9,7.3,Maha,no,pepper,1
Central,Nuwara Eliya,Wet Zone,loamy,1119,25.9,7.3,Maha,no,banana,0
Central,Nuwara Eliya,Wet Zone,loamy,1119,25.9,7.3,Maha,no,coconut,0
North Central,Anuradhapura,Dry Zone,compost_rich,2365,22.2,5.2,Maha,yes,mushroom,1
North Central,Anuradhapura,Dry Zone,compost_rich,2365,22.2,5.2,Maha,yes,rubber,0
North Central,Anuradhapura,Dry Zone,compost_rich,2365,22.2,5.2,Maha,yes,coconut,0
Sabaragamuwa,Kegalle,Intermediate Zone,loamy,1647,28.9,5.2,Yala,yes,turmeric,1
Sabaragamuwa,Kegalle,Intermediate Zone,loamy,1647,28.9,5.2,Yala,yes,vegetables,0
Sabaragamuwa,Kegalle,Intermediate Zone,loamy,1647,28.9,5.2,Yala,yes,mushroom,0
Northern,Jaffna,Dry Zone,clay,1278,30.4,7.0,Maha,yes,paddy,1
Northern,Jaffna,Dry Zone,clay,1278,30.4,7.0,Maha,yes,coconut,0
Northern,Jaffna,Dry Zone,clay,1278,30.4,7.0,Maha,yes,pepper,0
North Central,Anuradhapura,Wet Zone,compost_rich,2416,20.2,6.5,Yala,no,ginger,1
North Central,Anuradhapura,Wet Zone,compost_rich,2416,20.2,6.5,Yala,no,coconut,0
North Central,Anuradhapura,Wet Zone,compost_rich,2416,20.2,6.5,Yala,no,rubber,0
Uva,Badulla,Wet Zone,clay,2363,33.9,6.5,Maha,no,maize,1
Uva,Badulla,Wet Zone,clay,2363,33.9,6.5,Maha,no,vegetables,0
Uva,Badulla,Wet Zone,clay,2363,33.9,6.5,Maha,no,pepper,0
Northern,Mullaitivu,Wet Zone,clay_loam,2763,33.7,5.9,Yala,yes,maize,1
Northern,Mullaitivu,Wet Zone,clay_loam,2763,33.7,5.9,Yala,yes,banana,0
Northern,Mullaitivu,Wet Zone,clay_loam,2763,33.7,5.9,Yala,yes,coffee,0
North Western,Kurunegala,Wet Zone,clay,2965,22.6,7.3,Yala,no,coconut,1
North Western,Kurunegala,Wet Zone,clay,2965,22.6,7.3,Yala,no,tea,0
North Western,Kurunegala,Wet Zone,clay,2965,22.6,7.3,Yala,no,ginger,0
North Central,Anuradhapura,Wet Zone,sandy_loam,2155,32.0,4.6,Maha,no,banana,1
North Central,Anuradhapura,Wet Zone,sandy_loam,2155,32.0,4.6,Maha,no,vegetables,0
North Central,Anuradhapura,Wet Zone,sandy_loam,2155,32.0,4.6,Maha,no,paddy,0
North Central,Anuradhapura,Intermediate Zone,compost_rich,2061,31.2,4.9,Maha,yes,mushroom,1
North Central,Anuradhapura,Intermediate Zone,compost_rich,2061,31.2,4.9,Maha,yes,pepper,0
North Central,Anuradhapura,Intermediate Zone,compost_rich,2061,31.2,4.9,Maha,yes,cinnamon,0
Eastern,Trincomalee,Intermediate Zone,loamy,2090,33.0,6.0,Yala,no,turmeric,1
Eastern,Trincomalee,Intermediate Zone,loamy,2090,33.0,6.0,Yala,no,tea,0
Eastern,Trincomalee,Intermediate Zone,loamy,2090,33.0,6.0,Yala,no,maize,0
Eastern,Batticaloa,Wet Zone,sandy_loam,1989,25.3,7.0,Maha,no,maize,1
Eastern,Batticaloa,Wet Zone,sandy_loam,1989,25.3,7.0,Maha,no,cinnamon,0
Eastern,Batticaloa,Wet Zone,sandy_loam,1989,25.3,7.0,Maha,no,paddy,0
North Central,Anuradhapura,Wet Zone,sandy_loam,2178,24.7,4.7,Maha,no,banana,1
North Central,Anuradhapura,Wet Zone,sandy_loam,2178,24.7,4.7,Maha,no,cinnamon,0
North Central,Anuradhapura,Wet Zone,sandy_loam,2178,24.7,4.7,Maha,no,fruits,0
Northern,Mullaitivu,Intermediate Zone,loamy,2935,33.5,4.8,Yala,yes,turmeric,1
Northern,Mullaitivu,Intermediate Zone,loamy,2935,33.5,4.8,Yala,yes,banana,0
Northern,Mullaitivu,Intermediate Zone,loamy,2935,33.5,4.8,Yala,yes,paddy,0
Western,Kalutara,Intermediate Zone,compost_rich,1087,26.5,7.4,Yala,yes,coconut,1
Western,Kalutara,Intermediate Zone,compost_rich,1087,26.5,7.4,Yala,yes,pepper,0
Western,Kalutara,Intermediate Zone,compost_rich,1087,26.5,7.4,Yala,yes,ginger,0
Northern,Vavuniya,Wet Zone,clay_loam,2090,27.6,7.3,Maha,no,vegetables,1
Northern,Vavuniya,Wet Zone,clay_loam,2090,27.6,7.3,Maha,no,tea,0
Northern,Vavuniya,Wet Zone,clay_loam,2090,27.6,7.3,Maha,no,banana,0
Northern,Mullaitivu,Wet Zone,clay_loam,1112,31.2,5.0,Maha,yes,ginger,1
Northern,Mullaitivu,Wet Zone,clay_loam,1112,31.2,5.0,Maha,yes,paddy,0
Northern,Mullaitivu,Wet Zone,clay_loam,1112,31.2,5.0,Maha,yes,turmeric,0
Uva,Badulla,Wet Zone,clay,870,34.0,6.7,Maha,yes,coconut,1
Uva,Badulla,Wet Zone,clay,870,34.0,6.7,Maha,yes,mushroom,0
Uva,Badulla,Wet Zone,clay,870,34.0,6.7,Maha,yes,fruits,0
Northern,Mullaitivu,Intermediate Zone,clay,2013,31.9,6.2,Maha,yes,turmeric,1
Northern,Mullaitivu,Intermediate Zone,clay,2013,31.9,6.2,Maha,yes,tea,0
Northern,Mullaitivu,Intermediate Zone,clay,2013,31.9,6.2,Maha,yes,maize,0
Sabaragamuwa,Ratnapura,Intermediate Zone,loamy,2052,33.5,6.4,Maha,yes,vegetables,1
Sabaragamuwa,Ratnapura,Intermediate Zone,loamy,2052,33.5,6.4,Maha,yes,banana,0
Sabaragamuwa,Ratnapura,Intermediate Zone,loamy,2052,33.5,6.4,Maha,yes,rubber,0
Southern,Hambantota,Wet Zone,sandy_loam,2857,27.4,6.8,Yala,yes,coconut,1
Southern,Hambantota,Wet Zone,sandy_loam,2857,27.4,6.8,Yala,yes,maize,0
Southern,Hambantota,Wet Zone,sandy_loam,2857,27.4,6.8,Yala,yes,cinnamon,0
Uva,Monaragala,Intermediate Zone,compost_rich,1971,25.2,6.2,Maha,yes,mushroom,1
Uva,Monaragala,Intermediate Zone,compost_rich,1971,25.2,6.2,Maha,yes,paddy,0
Uva,Monaragala,Intermediate Zone,compost_rich,1971,25.2,6.2,Maha,yes,tea,0
Southern,Matara,Dry Zone,clay_loam,2851,25.1,5.6,Yala,no,paddy,1
Southern,Matara,Dry Zone,clay_loam,2851,25.1,5.6,Yala,no,maize,0
Southern,Matara,Dry Zone,clay_loam,2851,25.1,5.6,Yala,no,coffee,0
North Central,Polonnaruwa,Dry Zone,compost_rich,835,22.9,6.7,Yala,no,turmeric,1
North Central,Polonnaruwa,Dry Zone,compost_rich,835,22.9,6.7,Yala,no,paddy,0
North Central,Polonnaruwa,Dry Zone,compost_rich,835,22.9,6.7,Yala,no,banana,0
Eastern,Batticaloa,Wet Zone,clay_loam,2393,22.0,5.9,Yala,yes,banana,1
Eastern,Batticaloa,Wet Zone,clay_loam,2393,22.0,5.9,Yala,yes,rubber,0
Eastern,Batticaloa,Wet Zone,clay_loam,2393,22.0,5.9,Yala,yes,vegetables,0
Northern,Jaffna,Wet Zone,clay_loam,1524,26.6,5.8,Maha,no,coconut,1
Northern,Jaffna,Wet Zone,clay_loam,1524,26.6,5.8,Maha,no,mushroom,0
Northern,Jaffna,Wet Zone,clay_loam,1524,26.6,5.8,Maha,no,maize,0
Eastern,Ampara,Dry Zone,loamy,1681,23.1,5.9,Maha,yes,coffee,1
Eastern,Ampara,Dry Zone,loamy,1681,23.1,5.9,Maha,yes,cinnamon,0
Eastern,Ampara,Dry Zone,loamy,1681,23.1,5.9,Maha,yes,rubber,0
North Central,Anuradhapura,Intermediate Zone,loamy,2887,20.8,6.0,Maha,yes,coffee,1
North Central,Anuradhapura,Intermediate Zone,loamy,2887,20.8,6.0,Maha,yes,fruits,0
North Central,Anuradhapura,Intermediate Zone,loamy,2887,20.8,6.0,Maha,yes,paddy,0
North Central,Anuradhapura,Dry Zone,clay,2945,29.3,4.9,Yala,no,paddy,1
North Central,Anuradhapura,Dry Zone,clay,2945,29.3,4.9,Yala,no,banana,0
North Central,Anuradhapura,Dry Zone,clay,2945,29.3,4.9,Yala,no,turmeric,0
Northern,Mannar,Intermediate Zone,loamy,1810,28.8,5.8,Yala,yes,turmeric,1
Northern,Mannar,Intermediate Zone,loamy,1810,28.8,5.8,Yala,yes,maize,0
Northern,Mannar,Intermediate Zone,loamy,1810,28.8,5.8,Yala,yes,pepper,0
Northern,Jaffna,Dry Zone,compost_rich,2803,29.1,6.5,Maha,no,coffee,1
Northern,Jaffna,Dry Zone,compost_rich,2803,29.1,6.5,Maha,no,fruits,0
Northern,Jaffna,Dry Zone,compost_rich,2803,29.1,6.5,Maha,no,maize,0
North Western,Kurunegala,Wet Zone,compost_rich,1138,28.8,6.8,Yala,yes,coconut,1
North Western,Kurunegala,Wet Zone,compost_rich,1138,28.8,6.8,Yala,yes,vegetables,0
North Western,Kurunegala,Wet Zone,compost_rich,1138,28.8,6.8,Yala,yes,tea,0
Western,Colombo,Dry Zone,compost_rich,2095,25.6,5.0,Maha,yes,mushroom,1
Western,Colombo,Dry Zone,compost_rich,2095,25.6,5.0,Maha,yes,fruits,0
Western,Colombo,Dry Zone,compost_rich,2095,25.6,5.0,Maha,yes,banana,0
North Central,Polonnaruwa,Wet Zone,clay,1136,31.6,6.9,Yala,no,banana,1
North Central,Polonnaruwa,Wet Zone,clay,1136,31.6,6.9,Yala,no,ginger,0
North Central,Polonnaruwa,Wet Zone,clay,1136,31.6,6.9,Yala,no,paddy,0
Northern,Jaffna,Wet Zone,clay,2250,32.3,5.6,Maha,yes,fruits,1
Northern,Jaffna,Wet Zone,clay,2250,32.3,5.6,Maha,yes,cinnamon,0
Northern,Jaffna,Wet Zone,clay,2250,32.3,5.6,Maha,yes,mushroom,0
Northern,Jaffna,Wet Zone,sandy_loam,2741,23.0,6.1,Yala,no,turmeric,1
Northern,Jaffna,Wet Zone,sandy_loam,2741,23.0,6.1,Yala,no,paddy,0
Northern,Jaffna,Wet Zone,sandy_loam,2741,23.0,6.1,Yala,no,banana,0
Southern,Hambantota,Intermediate Zone,compost_rich,2206,27.4,6.7,Maha,no,coconut,1
Southern,Hambantota,Intermediate Zone,compost_rich,2206,27.4,6.7,Maha,no,fruits,0
Southern,Hambantota,Intermediate Zone,compost_rich,2206,27.4,6.7,Maha,no,vegetables,0
Northern,Jaffna,Intermediate Zone,clay,1519,23.2,5.6,Yala,no,turmeric,1
Northern,Jaffna,Intermediate Zone,clay,1519,23.2,5.6,Yala,no,rubber,0
Northern,Jaffna,Intermediate Zone,clay,1519,23.2,5.6,Yala,no,cinnamon,0
Northern,Kilinochchi,Intermediate Zone,sandy_loam,888,30.8,5.0,Yala,yes,maize,1
Northern,Kilinochchi,Intermediate Zone,sandy_loam,888,30.8,5.0,Yala,yes,mushroom,0
Northern,Kilinochchi,Intermediate Zone,sandy_loam,888,30.8,5.0,Yala,yes,tea,0
Central,Nuwara Eliya,Wet Zone,clay,1790,29.5,6.1,Yala,yes,fruits,1
Central,Nuwara Eliya,Wet Zone,clay,1790,29.5,6.1,Yala,yes,turmeric,0
Central,Nuwara Eliya,Wet Zone,clay,1790,29.5,6.1,Yala,yes,coconut,0
Uva,Badulla,Intermediate Zone,clay_loam,1441,23.3,5.4,Yala,yes,vegetables,1
Uva,Badulla,Intermediate Zone,clay_loam,1441,23.3,5.4,Yala,yes,fruits,0
Uva,Badulla,Intermediate Zone,clay_loam,1441,23.3,5.4,Yala,yes,turmeric,0
North Central,Polonnaruwa,Wet Zone,clay_loam,1047,31.5,5.2,Yala,yes,ginger,1
North Central,Polonnaruwa,Wet Zone,clay_loam,1047,31.5,5.2,Yala,yes,turmeric,0
North Central,Polonnaruwa,Wet Zone,clay_loam,1047,31.5,5.2,Yala,yes,banana,0
Sabaragamuwa,Kegalle,Intermediate Zone,sandy_loam,2700,27.5,6.2,Yala,no,pepper,1
Sabaragamuwa,Kegalle,Intermediate Zone,sandy_loam,2700,27.5,6.2,Yala,no,coconut,0
Sabaragamuwa,Kegalle,Intermediate Zone,sandy_loam,2700,27.5,6.2,Yala,no,ginger,0
Central,Matale,Wet Zone,clay,1526,21.5,4.9,Yala,yes,tea,1
Central,Matale,Wet Zone,clay,1526,21.5,4.9,Yala,yes,cinnamon,0
Central,Matale,Wet Zone,clay,1526,21.5,4.9,Yala,yes,ginger,0
North Western,Kurunegala,Intermediate Zone,loamy,2092,33.0,7.4,Maha,no,coconut,1
North Western,Kurunegala,Intermediate Zone,loamy,2092,33.0,7.4,Maha,no,fruits,0
North Western,Kurunegala,Intermediate Zone,loamy,2092,33.0,7.4,Maha,no,ginger,0
Sabaragamuwa,Ratnapura,Wet Zone,loamy,1582,28.5,7.1,Yala,yes,rubber,1
Sabaragamuwa,Ratnapura,Wet Zone,loamy,1582,28.5,7.1,Yala,yes,paddy,0
Sabaragamuwa,Ratnapura,Wet Zone,loamy,1582,28.5,7.1,Yala,yes,fruits,0
Central,Nuwara Eliya,Intermediate Zone,clay_loam,1701,23.2,5.0,Maha,no,mushroom,1
Central,Nuwara Eliya,Intermediate Zone,clay_loam,1701,23.2,5.0,Maha,no,fruits,0
Central,Nuwara Eliya,Intermediate Zone,clay_loam,1701,23.2,5.0,Maha,no,paddy,0
Eastern,Trincomalee,Wet Zone,compost_rich,1770,21.8,4.7,Maha,no,maize,1
Eastern,Trincomalee,Wet Zone,compost_rich,1770,21.8,4.7,Maha,no,fruits,0
Eastern,Trincomalee,Wet Zone,compost_rich,1770,21.8,4.7,Maha,no,mushroom,0
Northern,Mannar,Wet Zone,clay,1565,28.3,4.6,Maha,no,mushroom,1
Northern,Mannar,Wet Zone,clay,1565,28.3,4.6,Maha,no,vegetables,0
Northern,Mannar,Wet Zone,clay,1565,28.3,4.6,Maha,no,fruits,0
Central,Matale,Intermediate Zone,sandy_loam,2835,21.0,5.5,Yala,no,banana,1
Central,Matale,Intermediate Zone,sandy_loam,2835,21.0,5.5,Yala,no,turmeric,0
Central,Matale,Intermediate Zone,sandy_loam,2835,21.0,5.5,Yala,no,vegetables,0
North Central,Polonnaruwa,Intermediate Zone,clay,2315,25.8,5.2,Yala,yes,fruits,1
North Central,Polonnaruwa,Intermediate Zone,clay,2315,25.8,5.2,Yala,yes,coffee,0
North Central,Polonnaruwa,Intermediate Zone,clay,2315,25.8,5.2,Yala,yes,mushroom,0
Northern,Mullaitivu,Intermediate Zone,loamy,2960,29.5,4.9,Maha,no,ginger,1
Northern,Mullaitivu,Intermediate Zone,loamy,2960,29.5,4.9,Maha,no,coffee,0
Northern,Mullaitivu,Intermediate Zone,loamy,2960,29.5,4.9,Maha,no,turmeric,0
Southern,Matara,Dry Zone,clay,1084,22.7,6.9,Maha,no,cinnamon,1
Southern,Matara,Dry Zone,clay,1084,22.7,6.9,Maha,no,tea,0
Southern,Matara,Dry Zone,clay,1084,22.7,6.9,Maha,no,rubber,0
